distribution,strategy,throughput_ev_s,drop_pct,stale_pct
CONSTANT,FCFS,37156,15.82,1.58
CONSTANT,BALANCED,43817,2.76,0.97
CONSTANT,LEAST_LOADED,42608,0.0,5.28
CONSTANT,BANDIT,58069,0.0,0.62
CONSTANT,SARSA,44636,0.0,0.48
CONSTANT,ADAPTIVE,36462,14.05,2.59
CONSTANT,OFFLINE_BANDIT,41850,0.0,0.46
SINE,FCFS,24746,4.57,1.37
SINE,BALANCED,25636,4.06,1.12
SINE,LEAST_LOADED,26371,0.0,1.14
SINE,BANDIT,34919,0.0,0.95
SINE,SARSA,27083,0.0,0.63
SINE,ADAPTIVE,34196,0.0,0.95
SINE,OFFLINE_BANDIT,27764,0.0,0.62
STEP,FCFS,12590,33.97,0.0
STEP,BALANCED,12823,34.74,0.0
STEP,LEAST_LOADED,14598,16.61,0.0
STEP,BANDIT,14564,14.08,0.0
STEP,SARSA,12201,33.71,0.0
STEP,ADAPTIVE,8051,49.09,3.97
STEP,OFFLINE_BANDIT,7928,48.47,4.25
